GM,Hour
JANAAA,-1000
FEBAAA,-1000
MARAAA,-1000
APRAAA,-1000
MAYAAA,-1000
JUNAAA,-1000
JULAAA,-1000
AUGAAA,-1000
SEPAAA,-1000
OCTAAA,-1000
NOVAAA,-1000
DECAAA,-1000
JANAAC,300
FEBAAC,300
MARAAC,300
APRAAC,300
MAYAAC,300
JUNAAC,300
JULAAC,300
AUGAAC,300
SEPAAC,300
OCTAAC,300
NOVAAC,300
DECAAC,300
JANAAE,100
FEBAAE,100
MARAAE,100
APRAAE,100
MAYAAE,100
JUNAAE,100
JULAAE,100
AUGAAE,100
SEPAAE,100
OCTAAE,100
NOVAAE,100
DECAAE,100
JANAAL,100
FEBAAL,100
MARAAL,100
APRAAL,200
MAYAAL,200
JUNAAL,200
JULAAL,200
AUGAAL,200
SEPAAL,200
OCTAAL,200
NOVAAL,100
DECAAL,100
JANAAM,200
FEBAAM,200
MARAAM,200
APRAAM,200
MAYAAM,200
JUNAAM,200
JULAAM,200
AUGAAM,200
SEPAAM,200
OCTAAM,200
NOVAAM,200
DECAAM,200
JANAAN,400
FEBAAN,400
MARAAN,400
APRAAN,400
MAYAAN,400
JUNAAN,400
JULAAN,400
AUGAAN,400
SEPAAN,400
OCTAAN,400
NOVAAN,400
DECAAN,400
JANAAQ,300
FEBAAQ,300
MARAAQ,300
APRAAQ,300
MAYAAQ,300
JUNAAQ,300
JULAAQ,300
AUGAAQ,300
SEPAAQ,300
OCTAAQ,300
NOVAAQ,300
DECAAQ,300
JANAAR,100
FEBAAR,100
MARAAR,100
APRAAR,200
MAYAAR,200
JUNAAR,200
JULAAR,200
AUGAAR,200
SEPAAR,200
OCTAAR,200
NOVAAR,100
DECAAR,100
JANAAT,800
FEBAAT,800
MARAAT,800
APRAAT,800
MAYAAT,800
JUNAAT,800
JULAAT,800
AUGAAT,800
SEPAAT,800
OCTAAT,800
NOVAAT,800
DECAAT,800
JANAAX,-200
FEBAAX,-200
MARAAX,-300
APRAAX,-300
MAYAAX,-300
JUNAAX,-300
JULAAX,-300
AUGAAX,-300
SEPAAX,-300
OCTAAX,-300
NOVAAX,-200
DECAAX,-200
JANAAY,300
FEBAAY,300
MARAAY,300
APRAAY,300
MAYAAY,300
JUNAAY,300
JULAAY,300
AUGAAY,300
SEPAAY,300
OCTAAY,300
NOVAAY,300
DECAAY,300
JANABA,700
FEBABA,700
MARABA,700
APRABA,700
MAYABA,700
JUNABA,700
JULABA,700
AUGABA,700
SEPABA,700
OCTABA,700
NOVABA,700
DECABA,700
JANABB,100
FEBABB,100
MARABB,100
APRABB,100
MAYABB,100
JUNABB,100
JULABB,100
AUGABB,100
SEPABB,100
OCTABB,100
NOVABB,100
DECABB,100
JANABC,100
FEBABC,100
MARABC,100
APRABC,200
MAYABC,100
JUNABC,100
JULABC,100
AUGABC,100
SEPABC,100
OCTABC,100
NOVABC,100
DECABC,100
JANABD,330
FEBABD,330
MARABD,330
APRABD,330
MAYABD,430
JUNABD,430
JULABD,430
AUGABD,430
SEPABD,430
OCTABD,330
NOVABD,330
DECABD,330
JANABE,-500
FEBABE,-500
MARABE,-400
APRABE,-400
MAYABE,-400
JUNABE,-400
JULABE,-400
AUGABE,-400
SEPABE,-400
OCTABE,-400
NOVABE,-500
DECABE,-500
JANABI,-600
FEBABI,-600
MARABI,-500
APRABI,-500
MAYABI,-500
JUNABI,-500
JULABI,-500
AUGABI,-500
SEPABI,-500
OCTABI,-500
NOVABI,-600
DECABI,-600
JANABJ,0
FEBABJ,0
MARABJ,0
APRABJ,0
MAYABJ,0
JUNABJ,0
JULABJ,0
AUGABJ,0
SEPABJ,0
OCTABJ,0
NOVABJ,0
DECABJ,0
JANABK,300
FEBABK,300
MARABK,300
APRABK,300
MAYABK,300
JUNABK,300
JULABK,300
AUGABK,300
SEPABK,300
OCTABK,300
NOVABK,300
DECABK,300
JANABL,-900
FEBABL,-900
MARABL,-900
APRABL,-900
MAYABL,-800
JUNABL,-800
JULABL,-800
AUGABL,-800
SEPABL,-800
OCTABL,-800
NOVABL,-800
DECABL,-900
JANABM,1000
FEBABM,1000
MARABM,1000
APRABM,1000
MAYABM,1000
JUNABM,1000
JULABM,1000
AUGABM,1000
SEPABM,1000
OCTABM,1000
NOVABM,1000
DECABM,1000
JANABQ,-700
FEBABQ,-700
MARABQ,-600
APRABQ,-600
MAYABQ,-600
JUNABQ,-600
JULABQ,-600
AUGABQ,-600
SEPABQ,-600
OCTABQ,-600
NOVABQ,-700
DECABQ,-700
JANABR,-600
FEBABR,-600
MARABR,-500
APRABR,-500
MAYABR,-500
JUNABR,-500
JULABR,-500
AUGABR,-500
SEPABR,-500
OCTABR,-500
NOVABR,-600
DECABR,-600
JANABS,200
FEBABS,200
MARABS,200
APRABS,200
MAYABS,200
JUNABS,200
JULABS,200
AUGABS,200
SEPABS,200
OCTABS,200
NOVABS,200
DECABS,200
JANABT,300
FEBABT,300
MARABT,300
APRABT,300
MAYABT,300
JUNABT,300
JULABT,300
AUGABT,300
SEPABT,300
OCTABT,300
NOVABT,300
DECABT,300
